date,tweet,positive,neutral,negative,,,,,,,,,,
Tue Mar 07 15:01:44 +0000 2017,The Roper Research Room is open 1â€”7 p.m. on Tuesdays or by appointment. Learn more at https://t.co/U92wNsv3f9â€_ https://t.co/tuSNbQ1BRP,0.55,0.8,0.45,,,,,,,,,,
Tue Mar 07 15:01:43 +0000 2017,"BOOK YOUR HAIR APPOINTMENT AT https://t.co/eUhkUeeTu6 #raleighstylist #raleighsalonâ€_ https://t.co/kJJmpw5HBU",0.57,0.64,0.43,,,,,,,,,,
Tue Mar 07 15:01:42 +0000 2017,Try our 'Express service'. This runs separately from walk-in and appointment times. Test for Chlamydia &amp; Gonorrhoea https://t.co/bJirUgzme2,0.52,0.97,0.48,,,,,,,,,,
Tue Mar 07 15:01:41 +0000 2017,Get to my doctors appointment which I thought was at 10:15.. it's not until 12:30. Wtf,0.17,0.04,0.83,,,,,,,,,,
Tue Mar 07 15:01:40 +0000 2017,"#ComputerClass One-on-One Resume and Job Interviewing Help. (by appointment) Mon. Mar. 13, 2017 from 1-2pm &amp; 2-3pm. https://t.co/QQPfOKDvQt",0.47,0.91,0.53,,,,,,,,,,
Tue Mar 07 15:01:39 +0000 2017,Do you need service on your car? You can conveniently schedule an appointment right through our website.â€_ https://t.co/5nvDttL4Ji,0.47,0.18,0.53,,,,,,,,,,
Tue Mar 07 15:01:38 +0000 2017,Are you having a bad hair day!? Don't worry we got you covered! Call us to book an appointment! https://t.co/64CdkbS0nt,0.31,0.19,0.69,,,,,,,,,,
Tue Mar 07 15:01:35 +0000 2017,I just booked my next appointment at  https://t.co/YoUkbcBT7N,0.32,0.34,0.68,,,,,,,,,,
Tue Mar 07 15:01:32 +0000 2017,RT @EFFSouthAfrica: #Malema: I wish to remind you of Section 174(2) of Constitution on appointment of Judicial officers which provides thatâ€_,0.56,0.34,0.44,,,,,,,,,,
Tue Mar 07 15:01:32 +0000 2017,"RT @domxsweat: I told my mom I gotta go to the dentist &amp; she gone tell me ""go head &amp; call to make an appointment"" MAKE AN APPOIâ€” girl bye hâ€_",0.32,0.49,0.68,,,,,,,,,,
Tue Mar 07 15:01:32 +0000 2017,"RT @2ShareTheGospel: ""Don't pray when you feel like it. Have an appointment with the Lord and keep it.""-Corrie Ten Boom _Ÿ™è_Ÿè_",0.65,0.42,0.35,,,,,,,,,,
Tue Mar 07 15:01:27 +0000 2017,@King_Charles_V they're telling me I need to make an appointment _Ÿ˜_,0.3,0.35,0.7,,,,,,,,,,
Tue Mar 07 15:01:25 +0000 2017,Now Leasing several gorgeous floor plans. To make an appointment contact April @ 210-342-8191 or email her at autumnleasing@uaginc.com,0.62,0.82,0.38,,,,,,,,,,
Tue Mar 07 15:01:25 +0000 2017,Help. Hair appointment is tomorrow and I'm a libra so I don't make decisions.,0.44,0.35,0.56,,,,,,,,,,
Tue Mar 07 15:01:23 +0000 2017,We are delighted to offer you Â£5 off your first appointment. https://t.co/Sc0ePU4GVj T&amp;Cs apply. Visitâ€_ https://t.co/HBYiJUsjqT,0.63,0.41,0.37,,,,,,,,,,
Tue Mar 07 15:01:18 +0000 2017,RT @Home_Halfway: Thinking about canceling my therapy appointment this week because I'm too depressed.,0.25,0.34,0.75,,,,,,,,,,
Tue Mar 07 15:01:17 +0000 2017,Especially if I've been trying to make an appointment for the past two weeks _Ÿ™ƒ_Ÿ_·_Ÿè_â€çâ™€ï¸è,0.34,0.16,0.66,,,,,,,,,,
Tue Mar 07 15:01:16 +0000 2017,Finally have a dentist appointment booked for tmw!,0.35,0.73,0.65,,,,,,,,,,
Tue Mar 07 15:01:12 +0000 2017,RT @Ajay_Nagariya: It is felt that the appointment of Mr.Urjit Patel as RBI Governor was the most foolish idea of the NDA Government.#à_•à¥‡à_‚à__à¥çâ€_,0.63,0.33,0.37,,,,,,,,,,
Tue Mar 07 15:01:12 +0000 2017,ok @jasoninthehouse - your apple watch for a doctor appointment. how's that? https://t.co/w2MQoGqvwN _Ÿ___Ÿè_,0.63,0.5,0.37,,,,,,,,,,
Tue Mar 07 15:01:10 +0000 2017,Students can come to a REACH Computer Resource Center and get assistance without an appointment.,0.5,0.86,0.5,,,,,,,,,,
Tue Mar 07 15:01:09 +0000 2017,Tomorrow is Parents Evening for KS2. If youâ€™re unsure of your appointment time please speak your childâ€™s class teacher or the school office.,0.6,0.69,0.4,,,,,,,,,,
Tue Mar 07 15:01:07 +0000 2017,We will be in Mitchells's Pharmacy in Carraroe Wednesday 15th March. Please contact 091590010 for enquiries or to make an appointment.,0.52,0.46,0.48,,,,,,,,,,
Tue Mar 07 15:01:06 +0000 2017,RT @Wiishu: You know you're an adult when you forget an appointment because you were lying in bed all day playing Zelda _Ÿ™„ #whoops,0.51,0.76,0.49,,,,,,,,,,
Tue Mar 07 15:01:04 +0000 2017,"So tired Naomi was up all night, her appointment is at 11. Hoping it's only a bad cold and her hernia bothering her again _Ÿ˜«",0.1,0.58,0.9,,,,,,,,,,
Tue Mar 07 15:01:03 +0000 2017,"Light sedation eases your childâ€™s anxiety, making their appointment run smoothly and worry-free. Find out more hereâ€_ https://t.co/zmyIDwzKYa",0.67,0.68,0.33,,,,,,,,,,
Tue Mar 07 15:01:03 +0000 2017,"Children don't always realize they have a problem with their vision, book them in for an appointment today! -â€_ https://t.co/VY547YV8KH",0.61,0.97,0.39,,,,,,,,,,
Tue Mar 07 15:01:03 +0000 2017,NSE shareholders approve Limaye's appointment as MD and CEO https://t.co/clv8PJBEHE https://t.co/PO8j5roaGc,0.5,0.67,0.5,,,,,,,,,,
Tue Mar 07 15:01:02 +0000 2017,Seeing this was right around the point during the doctor's appointment that I realized I was in trouble. https://t.co/wyNI4xbHyj,0.29,0.19,0.71,,,,,,,,,,
Tue Mar 07 15:01:02 +0000 2017,RT @mansourishad: Under new #MuslimBan ISIS leader al-Baghdadi can apply for a US visa appointment. Syrian child refugee and Iranian PhD stâ€_,0.75,0.65,0.25,,,,,,,,,,
Tue Mar 07 15:00:54 +0000 2017,Just made my first appointment to look at wedding dresses _Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç https://t.co/sUPIKAf0hA,0.57,0.24,0.43,,,,,,,,,,
Tue Mar 07 15:00:53 +0000 2017,RT @newsandtribune: NA-FC school board appointment under scrutiny: Formal complaint filed with Indiana Public Access Counselor https://t.coâ€_,0.54,0.77,0.46,,,,,,,,,,
Tue Mar 07 15:00:42 +0000 2017,"$34.95 VT State Inspection, pass or fail. All makes and models. Call 888-658-1130 to make an appointment. https://t.co/M5JaJnhykO",0.42,0.28,0.58,,,,,,,,,,
Tue Mar 07 15:00:37 +0000 2017,"RT @SpireRoding: #Cervical Smear at Spire Roding will be performed by one of our Private GPs, using Liquid Base Cytology. Book your appointâ€_",0.74,0.63,0.26,,,,,,,,,,
Tue Mar 07 15:00:36 +0000 2017,"Now booking April, stop in to schedule your appointment and drop off your deposit! https://t.co/Fsrmm9pcVK",0.32,0.93,0.68,,,,,,,,,,
Tue Mar 07 15:00:29 +0000 2017,"pharmaMKTnet: Poxel Announces Appointment of Christophe Arbet-Engels, MD, PhD, MBA, as Chief Medical Officer and EVP Late Development &amp; Medâ€_",0.49,0.82,0.51,,,,,,,,,,
Tue Mar 07 15:00:22 +0000 2017,Schedule your appointment today: https://t.co/Uq2Kn35qOv,0.48,0.58,0.52,,,,,,,,,,
Tue Mar 07 15:00:20 +0000 2017,RT @mkhammer: Same crew that told me DeVos' appointment would shut down public schools is shutting down public schools Wed. For the childreâ€_,0.49,0.67,0.51,,,,,,,,,,
Tue Mar 07 15:00:19 +0000 2017,Lucas came along with mom to her #orthodontic appointment today and was super excited to meet #freddyflossasaurus... https://t.co/rJiCrFWVtD,0.6,0.75,0.4,,,,,,,,,,
Tue Mar 07 15:00:19 +0000 2017,Visit our #OConnellSt FLAC Clinic tomorrow (8/3) @ 6.45-8.15pm to speak to a lawyer for free. Phone 076 1077230 for an appointment,0.69,0.68,0.31,,,,,,,,,,
Tue Mar 07 15:00:12 +0000 2017,"Make an appointment with us today let's help you get rid of pests in your home!!#pestcontrol #busy #cleanhouseâ€_ https://t.co/itauPPtHX8",0.64,0.31,0.36,,,,,,,,,,
Tue Mar 07 15:00:12 +0000 2017,RT @rotaryinbristol: Congratulations @PeachesTweets on your appointment as Lord Lieutenant of Bristol. Rotary in Bristol look forward to woâ€_,0.7,0.73,0.3,,,,,,,,,,
Tue Mar 07 15:00:11 +0000 2017,RT @mkhammer: Same crew that told me DeVos' appointment would shut down public schools is shutting down public schools Wed. For the childreâ€_,0.49,0.67,0.51,,,,,,,,,,
Tue Mar 07 15:00:11 +0000 2017,RT @AdamNoahWho: Under new #MuslimBan ISIS leader al-Baghdadi can apply for a US visa appointment. Syrian child refugee and Iranian PhD stuâ€_,0.75,0.61,0.25,,,,,,,,,,
Tue Mar 07 15:00:09 +0000 2017,This was my only day to sleep in this whole semester and my mom done scheduled me a doctors appointment _Ÿ˜_,0.25,0.5,0.75,,,,,,,,,,
Tue Mar 07 15:00:09 +0000 2017,"*Wedding Package Special Offer* For further details or to book an appointment please contact our events... https://t.co/nOsoLGNLpd",0.6,0.79,0.4,,,,,,,,,,
Tue Mar 07 15:00:08 +0000 2017,Women save $10 off haircuts today with our Facebook deal! Give us a call at 312.372.9211 to book your appointment. https://t.co/zgGUf1ikUz,0.47,0.77,0.53,,,,,,,,,,
Tue Mar 07 15:00:07 +0000 2017,Kindergarten round-up is in full swing at Leonard Elementary! Call to schedule your appointment at 989-834-5029.... https://t.co/mJEsZW9xr6,0.61,0.62,0.39,,,,,,,,,,
Tue Mar 07 15:00:05 +0000 2017,Kingston Smith Supports Growth Plans with Head of Sales Appointment https://t.co/fw4t9hbJnC #business #growthâ€_ https://t.co/Du1OlEjWza,0.61,0.83,0.39,,,,,,,,,,
Tue Mar 07 15:00:05 +0000 2017,Always be sure to bring a printed copy of your writing to your appointment. It's always good to have a hard copy... https://t.co/U2b3KMqKS0,0.58,0.11,0.42,,,,,,,,,,
Tue Mar 07 15:00:04 +0000 2017,Current &amp; aspiring solicitor judges: free judicial appointment training &amp; drinks networking Mon 20/3 @bray_manjulaâ€_ https://t.co/mcfQFPXcOe,0.68,0.58,0.32,,,,,,,,,,
Tue Mar 07 15:00:03 +0000 2017,Wow 2 months left until my tattoo appointment for my Disney tattoo tho _Ÿ˜¬,0.3,0.55,0.7,,,,,,,,,,
Tue Mar 07 15:00:02 +0000 2017,We are highly recommended by all of our patients! Call to make an appointment today and see what everyone is ravingâ€_ https://t.co/AICEQw3dKh,0.74,0.58,0.26,,,,,,,,,,
Tue Mar 07 15:00:01 +0000 2017,"Find a repair shop, ask a technician, locate your car or schedule an appointment with the #NAPAAutoCare #app! https://t.co/1UPfbnFV3I",0.42,0.91,0.58,,,,,,,,,,
Tue Mar 07 14:59:59 +0000 2017,Someone just walked into the doctors office and said he wants to make an appointment to see the dentist _Ÿ™‚_Ÿ™‚_Ÿ™ƒ_Ÿ™ƒ_Ÿ™‚,0.23,0.95,0.77,,,,,,,,,,
Tue Mar 07 14:59:54 +0000 2017,i'm real sad idk what time i booked my appointment for so i'm either here on time or 30 minutes early lmao,0.24,0.13,0.76,,,,,,,,,,
Tue Mar 07 14:59:53 +0000 2017,Customize and select your Zegna  TIE width and length in our Zegna Made to Measure e ent Nairobi April 1-4. Message to book an appointment,0.6,0.67,0.4,,,,,,,,,,
Tue Mar 07 14:59:48 +0000 2017,nail appointment _Ÿ’…_Ÿè__Ÿ’•,0.52,0.67,0.48,,,,,,,,,,
Tue Mar 07 14:59:43 +0000 2017,RT @mkhammer: Same crew that told me DeVos' appointment would shut down public schools is shutting down public schools Wed. For the childreâ€_,0.49,0.67,0.51,,,,,,,,,,
Tue Mar 07 14:59:40 +0000 2017,Currently waiting for my medical withdrawal appointment and I'm freaking out omg,0.31,0.37,0.69,,,,,,,,,,
Tue Mar 07 14:59:37 +0000 2017,RT @LuxtonAesthetic: Perfect lips - time and time again. Call 0800 033 7771 or 07739755303 to book your appointment https://t.co/KFCUTEJ2hkâ€_,0.77,0.28,0.23,,,,,,,,,,
Tue Mar 07 14:59:35 +0000 2017,Parker &amp; Streem #Orthodontics- Call Before Purim &amp; Schedule Your Appointment to Take Advantage of This ... #Ads https://t.co/s5HoQvJf3Q,0.38,0.66,0.62,,,,,,,,,,
Tue Mar 07 14:59:32 +0000 2017,@CNNPolitics As the only African American appointment by Donald Drumpf he has to toe the line or else.,0.26,0.78,0.74,,,,,,,,,,
Tue Mar 07 14:59:29 +0000 2017,"https://t.co/a57D830Nob to Book your appointment _Ÿ’“â„¢ #LashJunkieATL #AreYouAJunkieForLashes ?..â€_ https://t.co/YpQf5CX2y6",0.49,0.68,0.51,,,,,,,,,,
Tue Mar 07 14:59:26 +0000 2017,I'm sat in a dentist with my mum &amp; the appointment isn't even for me but I still feel sick lmao I hate dentists,0.18,0.1,0.82,,,,,,,,,,
Tue Mar 07 14:59:24 +0000 2017,"#Malema: This, Mr Zuma, would disqualify you from even making this appointment. (39) #MalemaToZuma",0.59,0.38,0.41,,,,,,,,,,
Tue Mar 07 14:59:15 +0000 2017,RT @TCTranscontinen: We are proud to welcome Mr. Jean Raymond to the Board of Directors of Transcontinental Inc. https://t.co/mMUqciASBH htâ€_,0.73,0.31,0.27,,,,,,,,,,
Tue Mar 07 14:59:12 +0000 2017,"Groomin Tuesday is here!  3493 Fredricksburg Rd. San Antonio, Texas 78201Call Today to schedule an appointment... https://t.co/jFhlXlIvjQ",0.38,0.74,0.62,,,,,,,,,,
Tue Mar 07 15:06:02 +0000 2017,"ãƒ»Egyptian lotus detail @ Lew is CKOOL _Ÿ’—_Ÿ’• | visit https://t.co/50t7jp7FdI to book an appointment ãƒ»_________________â€_ https://t.co/pgYDERm0PB",0.66,0.78,0.34,,,,,,,,,,
Tue Mar 07 15:06:02 +0000 2017,"RT @SmittenKittyn: My dentist appointment cost $400 the other day, lmao. The cost of an iPhone is nothing compared to medical expenses. httâ€_",0.46,0.68,0.54,,,,,,,,,,
Tue Mar 07 15:05:55 +0000 2017,RT @mkhammer: Same crew that told me DeVos' appointment would shut down public schools is shutting down public schools Wed. For the childreâ€_,0.49,0.67,0.51,,,,,,,,,,
Tue Mar 07 15:05:52 +0000 2017,"RT @LondonIsBlue12: Conte: ""The Champions League must be our house. For me and the players, the Champions League must be an appointment onâ€_",0.46,0.84,0.54,,,,,,,,,,
Tue Mar 07 15:05:48 +0000 2017,so happy I have a drs appointment today I love hearing his heart beat,0.8,0.13,0.2,,,,,,,,,,
Tue Mar 07 15:05:46 +0000 2017,an appointment is a barnacle: intoxicated but trimmed,0.56,0.78,0.44,,,,,,,,,,
Tue Mar 07 15:05:44 +0000 2017,Can I just skip this doctors appointment and go to sleep?,0.22,0.53,0.78,,,,,,,,,,
Tue Mar 07 15:05:43 +0000 2017,RT @katiemckenzie99: Morning lovelies and a very happy #TittyTuesday _Ÿ˜˜ Need to pop to the docs this morning for a routine appointment but wâ€_,0.66,0.46,0.34,,,,,,,,,,
Tue Mar 07 15:05:41 +0000 2017,"Writing in part to concur and in part to dissent, Justice Watt calls Wyrick's appointment the most critical issue ever to face the court.",0.61,0.72,0.39,,,,,,,,,,
Tue Mar 07 15:05:37 +0000 2017,Tiauna we can't get our nails done the 17th we have a tattoo appointment,0.29,0.36,0.71,,,,,,,,,,
Tue Mar 07 15:05:34 +0000 2017,Breaking: The Oklahoma Supreme Court has ruled against the ACLU in its challenge to the appointment of Justice Patrick Wyrick.,0.58,0.87,0.42,,,,,,,,,,
Tue Mar 07 15:05:30 +0000 2017,Every moment you have an appointment with life. Be in that moment. Treat it with the same focus as any crucial appointment. Be in the now.,0.7,0.15,0.3,,,,,,,,,,
Tue Mar 07 15:05:27 +0000 2017,"TODAY is a FREE LEGAL CLINIC at 3pm @ Community Action Center, 1100 Adams Avenue. Please be present by 4:30 p.m. No appointment is necessary",0.37,0.85,0.63,,,,,,,,,,
Tue Mar 07 15:05:26 +0000 2017,Click the link in my bio to book you appointment today. #HairstylistMelC #HoustonStylistâ€_ https://t.co/0e9SUuza05,0.59,0.57,0.41,,,,,,,,,,
Tue Mar 07 15:05:26 +0000 2017,We'll be at @Browns_Pharmacy  in #Solihull tomorrow. Call 0121 706 1390 or 0121 439 9432 to book an appointment :) @SolihullUpdates,0.73,0.5,0.27,,,,,,,,,,
Tue Mar 07 15:05:24 +0000 2017,Fastest hair appointment ever! Mornings are the best time to schedule,0.86,0.73,0.14,,,,,,,,,,
Tue Mar 07 15:05:21 +0000 2017,"Poxel Announces Appointment of Christophe Arbet-Engels, MD, PhD, MBA, as Chief Medical Officer and EVP Lateâ€_â€_ https://t.co/tlcsFqcd1K",0.51,0.87,0.49,,,,,,,,,,
Tue Mar 07 15:05:16 +0000 2017,"tomorrow I have therapy, a chiropractor appointment, a birthday party to go to; if I'm not neurotypical by the end of the day I'll be pissed",0.39,0.39,0.61,,,,,,,,,,
Tue Mar 07 15:05:11 +0000 2017,Call now to book your next appointment with Jessica or Nichole!! 803.771.0680,0.59,0.87,0.41,,,,,,,,,,
Tue Mar 07 15:05:08 +0000 2017,"Specialist Family Law Advice tmrw (8/3) @ #MeathSt FLAC Clinic from 7-9pm. Phone 076 1077180 to make an appointmenthttps://t.co/u71FWSI8zg",0.46,0.92,0.54,,,,,,,,,,
Tue Mar 07 15:05:07 +0000 2017,"CIC Julius Malema's Letter to Mr Zuma on the Appointment of Deputy Chief Justice. #MalemaToZumaFull Statement: https://t.co/Zlqy502SME",0.53,0.69,0.47,,,,,,,,,,
Tue Mar 07 15:05:07 +0000 2017,"Poxel Announces Appointment of Christophe Arbet-Engels, MD, PhD, MBA, as Chief Medical Officer and EVP Lateâ€_â€_ https://t.co/7oPpe2J4Kj",0.51,0.87,0.49,,,,,,,,,,
Tue Mar 07 15:05:06 +0000 2017,We are here to help you. Call 1-855-887-0097 toll free or visit https://t.co/74IKsQYSqW    for #Apple assistance. https://t.co/W6Pa6bP07P,0.7,0.38,0.3,,,,,,,,,,
Tue Mar 07 15:05:06 +0000 2017,Son doctor appointment was at 9:15 and I'm still sitting what's the point of appointments smh_Ÿ___Ÿè_â€çâ™‚ï¸è,0.28,0.34,0.72,,,,,,,,,,
Tue Mar 07 15:04:55 +0000 2017,RT @DovicHaz: Field trip my ass tomorrow I got a doctors appointment with Dr. Tempurpedic nigga I'm sleepin,0.42,0.88,0.58,,,,,,,,,,
Tue Mar 07 15:04:53 +0000 2017,"I have a dentist appointment in an hour, can someone come and shoot me instead please n thanks xxxx",0.27,0.27,0.73,,,,,,,,,,
Tue Mar 07 15:04:48 +0000 2017,At my eye appointment and trying to finish commissions https://t.co/ffBFsNO4kD,0.32,0.74,0.68,,,,,,,,,,
Tue Mar 07 15:04:46 +0000 2017,Classic NHS... Appointment at 2:30pm and im still waiting...,0.41,0.57,0.59,,,,,,,,,,
Tue Mar 07 15:04:40 +0000 2017,Newly-slim Tina Malone can't hide her excitement at hospital appointment as she books boob job ...,0.33,0.96,0.67,,,,,,,,,,
Tue Mar 07 15:04:39 +0000 2017,Why does my mom have to get on my shit so early in the fucking morning right close to an already stressful doctors appointment.,0.2,0.57,0.8,,,,,,,,,,
Tue Mar 07 15:04:38 +0000 2017,@SonglinesMag Im yet to recover from his departure 11 years later.We even named our 1st daughter after him.I had an appointment to visit him,0.51,0.99,0.49,,,,,,,,,,
Tue Mar 07 15:04:32 +0000 2017,a giclee printing service for artist working by appointment or by post #gicleeprinting #artists #madeinderbyshireâ€_ https://t.co/rRUal4yyGv,0.63,0.79,0.37,,,,,,,,,,
Tue Mar 07 15:04:29 +0000 2017,"RT @ScotlandSky: WATCHCaixinha's appointment at @RangersFC delayed but club directors still confident he will be their new manager. https:â€_",0.67,0.65,0.33,,,,,,,,,,
Tue Mar 07 15:04:29 +0000 2017,"@WargullDeDragon second appointment in three weeks, and I'm set up for a three-part workshop on handling anxiety uwu",0.58,0.63,0.42,,,,,,,,,,
Tue Mar 07 15:04:27 +0000 2017,"Some guy walked out the office at my doctors appointment, Jordan and I both said at the same time ""he's getting tested for hiv"" _Ÿ˜©_Ÿ˜‚",0.34,0.74,0.66,,,,,,,,,,
Tue Mar 07 15:04:25 +0000 2017,"Advisor scheduled appointment for today at 9:30 am. Receptionist tells me he was ""confused"" as he does not start until 11 am today.",0.36,0.8,0.64,,,,,,,,,,
Tue Mar 07 15:04:23 +0000 2017,AG Marshall Announces Appointment of Clay Crenshaw as Chief Deputy Attorney General https://t.co/73YPyYpNsc,0.65,0.61,0.35,,,,,,,,,,
Tue Mar 07 15:04:22 +0000 2017,@NicolaSturgeon @LabourOutOfScot And a two week wait to get a GP appointment. Superb service... or not.,0.63,0.38,0.37,,,,,,,,,,
Tue Mar 07 15:04:17 +0000 2017,"ãƒ»Lew is CKOOL _Ÿ’—_Ÿ’• | visit https://t.co/50t7jp7FdI to book an appointment ãƒ»_________________________________________â€_ https://t.co/lHE9SAZeiw",0.57,0.85,0.43,,,,,,,,,,
Tue Mar 07 15:04:16 +0000 2017,RT @lowehousedental: #CFAST quick #teethstraightening #braces @lowehousedental. Call us to book and appointment and see if we can help youâ€_,0.69,0.19,0.31,,,,,,,,,,
Tue Mar 07 15:04:13 +0000 2017,An appointment opened for 3pm today. Book it online at https://t.co/F37qDNeNjP #Laurier,0.67,0.72,0.33,,,,,,,,,,
Tue Mar 07 15:04:06 +0000 2017,RT @StevenChisholm: Congratulations to Joe Cafferty on his appointment as Vice Captain for EMRU U17s representative squad. Again #amptillruâ€_,0.53,0.96,0.47,,,,,,,,,,
