date,tweet,positive,neutral,negative,,,,,,,,,,
Tue Mar 07 10:06:38 +0000 2017,the hospital is telling me I missed an appointment on the 28th feb yet the letter was sent on the 28th feb &amp; I received it yesterday _Ù_Ó_Ù_Ó_Ù_Ó_Ù_Ó_Ù_Ó,0.24,0.72,0.76,,,,,,,,,,
Tue Mar 07 10:04:13 +0000 2017,RT @NHSBetterHealth: Question about travelling. Went to a hospital appointment &amp; there were no patient notes. @GreatNorthCare &amp; improved #t‰Û_,0.34,0.68,0.66,,,,,,,,,,
Tue Mar 07 10:00:28 +0000 2017,2-3 month wait for a hospital appointment_Ùªâ_Ùªâ_Ùªâ_Ùªâ_Ùªâ,0.33,0.78,0.67,,,,,,,,,,
Tue Mar 07 09:58:39 +0000 2017,@SAVAILT Furious! @HSELive staff don't inform patient if hospital discussion overruled by consultant #wastedtime another wasted appointment!,0.18,0.7,0.82,,,,,,,,,,
Tue Mar 07 09:53:48 +0000 2017,"Consultation with Dr Anoop G Mohan is available at TLC SUITEMeditrina Hospital,Pattom ,Trivandrum. For appointment‰Û_ https://t.co/yTyiQS60TV",0.52,0.83,0.48,,,,,,,,,,
Tue Mar 07 09:45:04 +0000 2017,I'm on the way to my mental health hospital appointment and I'm absolutely shitting myself. I never talk to people. Ugh I'm so scared,0.28,0.27,0.72,,,,,,,,,,
Tue Mar 07 09:41:19 +0000 2017,"@fortis_hospital called 3 times to book an appointment. ""Apna hospital"" song is all I hear to get, nobody answers eventually! #fortis",0.36,0.97,0.64,,,,,,,,,,
Tue Mar 07 09:24:56 +0000 2017,Hair appointment today but my hairdresser has had to go to hospital. I'm having it cut by a different person! I'm a bit worried...,0.4,0.49,0.6,,,,,,,,,,
Tue Mar 07 09:24:25 +0000 2017,Roll on my hospital appointment next week _Ù÷__Ùè´,0.25,0.76,0.75,,,,,,,,,,
Tue Mar 07 09:19:32 +0000 2017,"Off to a meeting, a hospital appointment and then a pub visit for info oh reminder to ones self get fuel",0.6,0.87,0.4,,,,,,,,,,
Tue Mar 07 09:18:29 +0000 2017,Hospital appointment got moved forward 2 hours. Thanks for telling me on the day and making me go into work just to have to leave,0.25,0.81,0.75,,,,,,,,,,
Tue Mar 07 09:18:17 +0000 2017,"My day. Coffee, nursery stop, minecraft tuition, laundry, nursery, hospital appointment. #norestforthewicked",0.34,0.86,0.66,,,,,,,,,,
Tue Mar 07 09:16:12 +0000 2017,Another set of antibiotics and a hospital appointment,0.4,0.84,0.6,,,,,,,,,,
Tue Mar 07 09:07:22 +0000 2017,"I wanna cry, cant believe I missed my hospital appointment ffs",0.21,0.35,0.79,,,,,,,,,,
Tue Mar 07 09:02:08 +0000 2017,When u have a rare day off work but have to go to the hospital for an appointment _Ù÷© fml _Ù÷Ó_Ù÷¢,0.44,0.68,0.56,,,,,,,,,,
Tue Mar 07 09:00:23 +0000 2017,"@mark_nz5452 I have a hospital appointment later, guarantee when I book back on. ""Oh we could have done with your help ten minutes ago""",0.36,0.43,0.64,,,,,,,,,,
Tue Mar 07 08:59:05 +0000 2017,"Got to get up and  ready for #clinic appointment at 12pm, I got to be read two hours before for transport. #hospital  #doctor #kidneyfailure",0.25,0.69,0.75,,,,,,,,,,
Tue Mar 07 08:57:45 +0000 2017,"Another hospital appointment - this time it's neurology _Ù÷_#POTS #EDS #ChronicLife",0.33,0.69,0.67,,,,,,,,,,
Tue Mar 07 08:57:33 +0000 2017,Hospital appointment _Ù÷Õ here's to crying out loud when they're drawing my blood,0.22,0.45,0.78,,,,,,,,,,
Tue Mar 07 08:50:17 +0000 2017,"Getting ready to go to Birmingham to my Hospital appointment, catch up when I get back x",0.26,0.71,0.74,,,,,,,,,,
Tue Mar 07 08:45:00 +0000 2017,RT @mucktrailer: Brilliant appointment up Milton Keynes University Hospital for son's Fracture Clinic. Been seen 30 mins early! Thankyou #N‰Û_,0.78,0.7,0.22,,,,,,,,,,
Tue Mar 07 08:36:20 +0000 2017,RT @choccymad: I have a child with a chronic illness and each hospital appointment (every 2 months) is marked against her... https://t.co/t‰Û_,0.44,0.64,0.56,,,,,,,,,,
Tue Mar 07 08:29:00 +0000 2017,Early morning hospital appointment #fuckyoushittyknee https://t.co/WoYbw3kpVI,0.39,0.69,0.61,,,,,,,,,,
Tue Mar 07 08:25:25 +0000 2017,"Oh godMy hospital appointment is very very soonWish me luck!",0.29,0.63,0.71,,,,,,,,,,
Tue Mar 07 08:14:03 +0000 2017,I have my pre op hospital appointment over the phone at 8:15am_Ù÷«_Ù÷« too early!,0.24,0.28,0.76,,,,,,,,,,
Tue Mar 07 08:13:37 +0000 2017,#EyeCare appointment ‰ÛÓ feeling fabulous at Tilganga Eye Hospital https://t.co/URAEsbUxPH,0.43,0.38,0.57,,,,,,,,,,
Tue Mar 07 08:04:55 +0000 2017,Off to the hospital again...this time for an appointment about the nerve damage in my foot! :(,0.17,0.71,0.83,,,,,,,,,,
Tue Mar 07 08:01:15 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 07:58:16 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 07:54:46 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 07:41:35 +0000 2017,"@vicki_lawson5 Good morning Vicki, I hope your hospital appointment went well yesterday?! Wishing you a happy Tuesday. Lots of love Xx",0.81,0.1,0.19,,,,,,,,,,
Tue Mar 07 07:34:27 +0000 2017,I have a child with a chronic illness and each hospital appointment (every 2 months) is marked against her... https://t.co/tQ2W1HiSWw,0.42,0.64,0.58,,,,,,,,,,
Tue Mar 07 07:29:51 +0000 2017,RT @NHSBetterHealth: Question about travelling. Went to a hospital appointment &amp; there were no patient notes. @GreatNorthCare &amp; improved #t‰Û_,0.34,0.68,0.66,,,,,,,,,,
Tue Mar 07 07:08:03 +0000 2017,"RT @kelliechyanne90: On route to Hospital for Nicks appointment xxx ‰ÛÓ travelling to Oxford, Oxfordshire from Bracknell https://t.co/BgBShoh‰Û_",0.42,0.81,0.58,,,,,,,,,,
Tue Mar 07 07:02:15 +0000 2017,"On route to Hospital for Nicks appointment xxx ‰ÛÓ travelling to Oxford, Oxfordshire from Bracknell https://t.co/BgBShohs8G",0.38,0.81,0.62,,,,,,,,,,
Tue Mar 07 06:29:34 +0000 2017,laughing though she tried t start shit about how my partner didn't come to my hospital appointment when she forgot she was driving me,0.14,0.63,0.86,,,,,,,,,,
Tue Mar 07 06:25:39 +0000 2017,Ceviche &amp; Co. will be at Summit Hospital in Oakland 11am-2pm. Come have us before your doctor‰Ûªs appointment. If... https://t.co/17fDiXKlj7,0.32,0.71,0.68,,,,,,,,,,
Tue Mar 07 06:24:04 +0000 2017,kenapa you pergi hospital putrajaya? ‰ÛÓ doctors appointment~~~~~~~~ https://t.co/McwTMsGK3Y,0.34,0.71,0.66,,,,,,,,,,
Tue Mar 07 06:14:20 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 06:03:02 +0000 2017,"yea,doctors today,get me gallstones sorted/check up on me portman clinic appointment,maudsley hospital appointment/ouch gallstones hurt",0.31,0.81,0.69,,,,,,,,,,
Tue Mar 07 05:25:38 +0000 2017,"RT @nalanieee: *walk into Kaiser hospital* Mom: omg lani it's packed Me: I know Mom: R U KIDDING LANI ... I HAVE A DICK APPOINTMENT LATE‰Û_",0.33,0.38,0.67,,,,,,,,,,
Tue Mar 07 04:48:13 +0000 2017,"*walk into Kaiser hospital* Mom: omg lani it's packed Me: I know Mom: R U KIDDING LANI ... I HAVE A DICK APPOINT‰Û_ https://t.co/roVQX5BYt2",0.32,0.34,0.68,,,,,,,,,,
Tue Mar 07 03:15:47 +0000 2017,"RT @LarryDaschmoe: @AKC0G @TeriGRight VA hospital better choice but rename itMaddog Mattis Medical 24/7/365No appointment necessaryWe R‰Û_",0.37,0.59,0.63,,,,,,,,,,
Tue Mar 07 02:58:54 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 02:50:48 +0000 2017,"So I just found out my grandma's appointment at the hospital wasn't 10am, BUT IT WAS AT 11:30am",0.23,0.34,0.77,,,,,,,,,,
Tue Mar 07 02:46:59 +0000 2017,When u go on the sesh but gotta be up at 5 and have to be at a hospital appointment in 9 hours tehe,0.25,0.99,0.75,,,,,,,,,,
Tue Mar 07 02:07:26 +0000 2017,Stupid hospital appointment soon. Have to leave early just to find a stupid park. So stupid,0.1,0.67,0.9,,,,,,,,,,
Tue Mar 07 01:04:11 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 00:46:00 +0000 2017,"Specializing in internal medicine, Dr. Juwarkar practices at 3006 S. Campbell Street in Sandusky. Make an appointme‰Û_ https://t.co/8luLujs6c1",0.5,0.95,0.5,,,,,,,,,,
Tue Mar 07 00:43:16 +0000 2017,RT @Paras_Global: @Paras_Global Hospital Darbhanga - First Hospital of the region to provide Comprehensive Care. Book an appointment: https‰Û_,0.55,0.73,0.45,,,,,,,,,,
Tue Mar 07 00:37:17 +0000 2017,@azgr8chest @deb12857 @jonboyelk @bjcrochet @EdRouge @JimEndres2 @prv87 @orcasandy it's 1:36 am here! Got hospital appointment 8:30 Need_Ù÷«! _Ù÷_,0.3,0.62,0.7,,,,,,,,,,
Tue Mar 07 15:04:40 +0000 2017,Newly-slim Tina Malone can't hide her excitement at hospital appointment as she books boob job ...,0.33,0.96,0.67,,,,,,,,,,
Tue Mar 07 14:56:19 +0000 2017,"I've had my appointment at guys hospital in London Bermondsey I have a appointment next Wednesday at 12.00pm, I'm now at london bridge",0.34,0.39,0.66,,,,,,,,,,
Tue Mar 07 14:55:47 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 14:30:03 +0000 2017,Let‰Ûªs play guess how late my hospital appointment will be,0.27,0.51,0.73,,,,,,,,,,
Tue Mar 07 14:28:56 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:11:54 +0000 2017,I just skipped my hospital appointment for no reason :),0.33,0.34,0.67,,,,,,,,,,
Tue Mar 07 14:08:40 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 14:06:08 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:03:22 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:01:38 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:00:49 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 14:00:10 +0000 2017,RT @James_Meikle: This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.54,0.42,0.46,,,,,,,,,,
Tue Mar 07 13:54:53 +0000 2017,"RT @JadeJaneRussell: Another hospital appointment - this time it's neurology _Ù÷_#POTS #EDS #ChronicLife",0.35,0.69,0.65,,,,,,,,,,
Tue Mar 07 13:54:25 +0000 2017,This doesn't exactly fill one with confidence in NHS appointment processes.  https://t.co/etPvYMuAhJ,0.48,0.42,0.52,,,,,,,,,,
Tue Mar 07 13:47:23 +0000 2017,"Hospital transport denied by GP as my appointment's out of area. Yes, national specialists often are. #NHSCrisis #NHSbreakingpoint made real",0.55,0.66,0.45,,,,,,,,,,
Tue Mar 07 13:42:41 +0000 2017,"In time but no the endorine test overshot my dermatology and I was late for the appointment, I am now at guys hospital thank goodness.",0.16,0.28,0.84,,,,,,,,,,
Tue Mar 07 13:42:20 +0000 2017,On my way to the hospital for the appointment ~1 month after surgery. Let's see how it will go.,0.32,0.81,0.68,,,,,,,,,,
Tue Mar 07 13:32:20 +0000 2017,"Well I can't knock the nhs, had Drs appointment last night &amp; 24 hrs later got appointment at the hospital _ÙÔç",0.24,0.86,0.76,,,,,,,,,,
Tue Mar 07 13:26:40 +0000 2017,Evans Hospital just puts you on hold after hold... I'm just tryna make an appointment y'all.,0.39,0.4,0.61,,,,,,,,,,
Tue Mar 07 13:11:01 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 13:04:10 +0000 2017,2 hours early for my hospital appointment peak _Ùªã,0.29,0.59,0.71,,,,,,,,,,
Tue Mar 07 13:03:12 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 13:00:15 +0000 2017,"RT @DorsetTraumaDoc: Fancy joining us? Advert out for dual appointment, 50% consultant anaesthetist @Poole_Hospital, 50% @dsairambulance ht‰Û_",0.62,0.76,0.38,,,,,,,,,,
Tue Mar 07 12:51:49 +0000 2017,Another hospital appointment with my dad. Still loving the NHS.,0.57,0.4,0.43,,,,,,,,,,
Tue Mar 07 12:50:32 +0000 2017,I have to go cook children hospital now i have appointment . there going to check my heart.,0.3,0.36,0.7,,,,,,,,,,
Tue Mar 07 12:37:14 +0000 2017,"Parents of school age children - if your child has a hospital appointment, do the school ask to copy the appt letter and keep it on file?",0.46,0.86,0.54,,,,,,,,,,
Tue Mar 07 12:37:14 +0000 2017,I'm about to go to my specialist appointment at the hospital. I have to have a new NG tube fitted too. So nervous.. #Spoonie #Tubie,0.22,0.29,0.78,,,,,,,,,,
Tue Mar 07 12:34:19 +0000 2017,Shitting it for this hospital appointment @ 2 _Ù÷Õ,0.36,0.67,0.64,,,,,,,,,,
Tue Mar 07 12:28:12 +0000 2017,Lovely walk in Stanley Park after hospital appointment today- hard to believe that 3 weeks ago today I was having o‰Û_ https://t.co/boyjLHaWEs,0.34,0.22,0.66,,,,,,,,,,
Tue Mar 07 12:15:34 +0000 2017,Just got confirmation of a hospital appointment next Monday to hopefully sort out what they can do for my dodgy knee.,0.25,0.82,0.75,,,,,,,,,,
Tue Mar 07 12:14:40 +0000 2017,@HillwoodBc he will find out at hospital appointment today.,0.42,0.96,0.58,,,,,,,,,,
Tue Mar 07 12:04:19 +0000 2017,home to hospital for my appointment  #walkwalkwalk https://t.co/apSqnZE4NZ,0.34,0.75,0.66,,,,,,,,,,
Tue Mar 07 12:03:14 +0000 2017,Even if you have an appointment at the hospital they still manage to make me wait over an hour_Ùªã,0.36,0.37,0.64,,,,,,,,,,
Tue Mar 07 12:02:20 +0000 2017,Waiting at the hospital 10:45 appointment it's now 12 and still not been seen _Ù÷Á_Ù÷Á_Ù÷Á#PRUH #NHS,0.52,0.8,0.48,,,,,,,,,,
Tue Mar 07 11:57:24 +0000 2017,"RT @IUredhead: #TBT picture to CM episode 2x4 ""Psychodrama"" when Hotch (@ImThomasGibson) has forgotten Jack's hospital appointment. https:/‰Û_",0.32,0.87,0.68,,,,,,,,,,
Tue Mar 07 11:48:27 +0000 2017,I always come out of a hospital appointment feeling worse than I went in... always. I think I'm allergic to hospitals.,0.21,0.16,0.79,,,,,,,,,,
Tue Mar 07 11:36:00 +0000 2017,"Visit to the dental hospital with the daughter this morning, just waiting for an appointment for her surgery _Ù÷á",0.55,0.99,0.45,,,,,,,,,,
Tue Mar 07 11:31:49 +0000 2017,Anyone wanna take me up to the hospital today at about 1430 for a quick appointment. Can be arsed with going on the bus. I'll give you money,0.41,0.21,0.59,,,,,,,,,,
Tue Mar 07 11:30:29 +0000 2017,Awaiting yet another hospital OP appointment. Why does your body fall to bits once you pass 60?,0.25,0.66,0.75,,,,,,,,,,
Tue Mar 07 11:28:57 +0000 2017,Finally!!!!! Got a hospital appointment _Ù___Ù___Ù_ä_Ù_ä_Ù___Ù_ä_Ù___Ù___Ù_ä_Ù_ä_Ù_ä_Ù___Ù__,0.37,0.89,0.63,,,,,,,,,,
Tue Mar 07 11:06:43 +0000 2017,@AlcaffeeLoL have u been ill recently at all? Could be fluid or wax build up in ear but try to make doc appointment or go to hospital adap,0.15,0.76,0.85,,,,,,,,,,
Tue Mar 07 11:06:26 +0000 2017,When you have a hospital appointment in Aberdeen and can play Pokemon. Winning. https://t.co/06lpqooyrt,0.41,0.53,0.59,,,,,,,,,,
Tue Mar 07 11:02:21 +0000 2017,@minute44 there was a third party referral support service and another third party private hospital handling the appointment,0.33,0.82,0.67,,,,,,,,,,
Tue Mar 07 11:00:47 +0000 2017,@UberUK our taxi drove past us 3 times then got lost and we had to run to our hospital appointment. I've applied for a refund. How long?,0.17,0.62,0.83,,,,,,,,,,
Tue Mar 07 11:00:30 +0000 2017,Planning to visit Rainbow Hospital #Bengaluru? Book an appointment now -http://103.231.212.10/PatientPortal/#/sched‰Û_ https://t.co/GzodYw9p7S,0.58,0.92,0.42,,,,,,,,,,
Tue Mar 07 11:00:27 +0000 2017,got a hospital appointment regarding my headaches again _Ù÷© hopefully this time they'll be able to find out something helpful...,0.45,0.7,0.55,,,,,,,,,,
Tue Mar 07 10:59:34 +0000 2017,I hope my mums hospital appointment goes okay today _Ù÷Ó,0.4,0.43,0.6,,,,,,,,,,
